kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.favoriteCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.tags,statistics.likeCount,statistics.commentCount,snippet.defaultAudioLanguage
youtube#video,H-eNBGK8OvF2dF0yRWvNJAdQb5E,mAeCCh_lLbs,2019-05-20T08:58:27Z,UCjZyUJ_QYcaX_7GUTjjZHdw,Amber Heard going to the Martinez beach in Cannes - 16.05.2019,"The American actress Amber Heard on her way to the Martinez beach in Cannes, May 16th 2019.",https://i.ytimg.com/vi/mAeCCh_lLbs/default.jpg,120,90,https://i.ytimg.com/vi/mAeCCh_lLbs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mAeCCh_lLbs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/mAeCCh_lLbs/sddefault.jpg,640.0,480.0,People_in_pfw,22,none,Amber Heard going to the Martinez beach in Cannes - 16.05.2019,"The American actress Amber Heard on her way to the Martinez beach in Cannes, May 16th 2019.",PT20S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,353,0,https://i.ytimg.com/vi/mAeCCh_lLbs/maxresdefault.jpg,1280.0,720.0,,3,1,
youtube#video,fhsiZ5hr3vC48mwl3lqYlPrn70Y,O9LETIWehns,2014-07-15T05:00:03Z,UCU_NAiUSbhoSaVk0sfuvg9w,Amber Heard - Montée des marches de Cannes 2014,"------------------------------

Pour ne rien manquer de nos vidéos, abonnez-vous :
https://www.youtube.com/user/PurePeopleTV?sub_confirmation=1

Pour voir toujours plus de vidéos de vos peoples préférés:
https://www.youtube.com/user/PurePeopleTV/videos

L'actualité 100% people en continu ! Toutes les infos sur vos stars préférées en france et à l'étranger avec des photos et des vidéos c'est sur purepeople...
http://www.purepeople.com/

Crédits Photos et Vidéos : Abaca",https://i.ytimg.com/vi/O9LETIWehns/default.jpg,120,90,https://i.ytimg.com/vi/O9LETIWehns/mqdefault.jpg,320,180,https://i.ytimg.com/vi/O9LETIWehns/hqdefault.jpg,480,360,https://i.ytimg.com/vi/O9LETIWehns/sddefault.jpg,640.0,480.0,Purepeople,22,none,Amber Heard - Montée des marches de Cannes 2014,"------------------------------

Pour ne rien manquer de nos vidéos, abonnez-vous :
https://www.youtube.com/user/PurePeopleTV?sub_confirmation=1

Pour voir toujours plus de vidéos de vos peoples préférés:
https://www.youtube.com/user/PurePeopleTV/videos

L'actualité 100% people en continu ! Toutes les infos sur vos stars préférées en france et à l'étranger avec des photos et des vidéos c'est sur purepeople...
http://www.purepeople.com/

Crédits Photos et Vidéos : Abaca",PT1M10S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,574,0,https://i.ytimg.com/vi/O9LETIWehns/maxresdefault.jpg,1280.0,720.0,"['Amber Heard (Celebrity)', 'exclusive', 'Cannes', 'Cannes Film Festival (Film Festival)', 'scoops', 'interview', 'festival de cannes', 'actu', 'top', 'célébrités', 'amber', 'pure', 'tapis rouge', 'famous', 'heard']",2,0,
youtube#video,__PHPdwA013NAwFN6G3eD-pB2RI,PSjeWzH_ioc,2011-11-09T15:10:43Z,UCl01THIfTUqU2lMVgNG7mBQ,Rhum Express: Avant-première Paris,"La vidéo exclusive de l'avant première Rhum Express sur les Champs-Élysées!
En présence de Johnny Depp, Amber Heard et Bruce Robinson.",https://i.ytimg.com/vi/PSjeWzH_ioc/default.jpg,120,90,https://i.ytimg.com/vi/PSjeWzH_ioc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PSjeWzH_ioc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PSjeWzH_ioc/sddefault.jpg,640.0,480.0,Metropolitan Films,24,none,Rhum Express: Avant-première Paris,"La vidéo exclusive de l'avant première Rhum Express sur les Champs-Élysées!
En présence de Johnny Depp, Amber Heard et Bruce Robinson.",PT8M34S,2d,sd,false,False,rectangular,processed,public,youtube,True,False,False,4253,0,https://i.ytimg.com/vi/PSjeWzH_ioc/maxresdefault.jpg,1280.0,720.0,"['Rhum', 'Express', 'Johnny', 'Depp', 'Aaron', 'eckart', 'Hunter', 'Thompson', 'Amber', 'avant', 'première', 'Champs', 'Elysées', 'paris', 'france']",29,5,
youtube#video,KhQDh4LDsx3LzsntL8dnbYZCmLo,pZQQ_LmnvRE,2018-12-10T14:34:42Z,UCH6L8Dfs6-AkvYbPS0636AQ,AQUAMAN: Amber Heard a solas,"Si te gusta el cine, las series, viajar, el teatro, la música y mucho más... seguime en mis redes, suscribite a mi canal y entérate de todo! 
▶ Suscribite:  https://www.youtube.com/channel/UCH6L8Dfs6-AkvYbPS0636AQ/featured
▶ Facebook: https://www.facebook.com/JaviPonzo/ 
▶ Twitter: https://twitter.com/JaviPonzo
▶ Instagram: https://www.instagram.com/javiponzo",https://i.ytimg.com/vi/pZQQ_LmnvRE/default.jpg,120,90,https://i.ytimg.com/vi/pZQQ_LmnvRE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pZQQ_LmnvRE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/pZQQ_LmnvRE/sddefault.jpg,640.0,480.0,JaviPonzo,24,none,AQUAMAN: Amber Heard a solas,"Si te gusta el cine, las series, viajar, el teatro, la música y mucho más... seguime en mis redes, suscribite a mi canal y entérate de todo! 
▶ Suscribite:  https://www.youtube.com/channel/UCH6L8Dfs6-AkvYbPS0636AQ/featured
▶ Facebook: https://www.facebook.com/JaviPonzo/ 
▶ Twitter: https://twitter.com/JaviPonzo
▶ Instagram: https://www.instagram.com/javiponzo",PT4M18S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,4024,0,https://i.ytimg.com/vi/pZQQ_LmnvRE/maxresdefault.jpg,1280.0,720.0,"['series', 'reseñas', 'entrevistas', 'Javier Ponzone', 'espectáculos', 'cine', 'periodista Perros de la calle', 'periodista metro', 'Hollywood', 'películas', 'estrenos', 'JaviPonzo', 'aquaman', 'amber heard', 'mera']",109,13,
youtube#video,6gGrRzrQ_XsLcaADypsUm7zYbNo,uGYzlHF1MWU,2011-11-10T19:26:03Z,UC0hxDsper4Bt3U7Atg5HFWg,avant première Rhum Express à paris avec johnny depp et amber heard,"petite intro, puis attente des acteurs... leur arrivéé et enfin, le rêve devient réalité!!",https://i.ytimg.com/vi/uGYzlHF1MWU/default.jpg,120,90,https://i.ytimg.com/vi/uGYzlHF1MWU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/uGYzlHF1MWU/hqdefault.jpg,480,360,,,,JeannotMovie,24,none,avant première Rhum Express à paris avec johnny depp et amber heard,"petite intro, puis attente des acteurs... leur arrivéé et enfin, le rêve devient réalité!!",PT8M49S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,3773,0,,,,"['Rhum Express', 'Johnny Depp', 'Amber Heard', 'Paris']",9,3,
youtube#video,eYJIgnw_yfgNEk9ab-PwNq8cm84,uHPDta8fJYc,2019-09-30T17:00:41Z,UC48CqsQVp-G-V3dFQ6LJ0LA,Amber Heard – Shopping at the Chanel store in Paris,Amber Heard – Shopping at the Chanel store in Paris,https://i.ytimg.com/vi/uHPDta8fJYc/default.jpg,120,90,https://i.ytimg.com/vi/uHPDta8fJYc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/uHPDta8fJYc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/uHPDta8fJYc/sddefault.jpg,640.0,480.0,celebrities,26,none,Amber Heard – Shopping at the Chanel store in Paris,Amber Heard – Shopping at the Chanel store in Paris,PT1M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,97,0,https://i.ytimg.com/vi/uHPDta8fJYc/maxresdefault.jpg,1280.0,720.0,,0,1,en
youtube#video,XJkumlSAM9WtbV8dt_5-1z6LLyM,vHJbNGkG4as,2015-10-06T04:41:19Z,UCO0dMRd66S6uDUan73Lg3Mg,WHO’S RICHER? - Paris Hilton or Amber Heard? - Net Worth Revealed!,Who’s worth more? How much money do Paris Hilton and actress Amber Heard have? We reveal their net worth and see who’s the richest between the two!,https://i.ytimg.com/vi/vHJbNGkG4as/default.jpg,120,90,https://i.ytimg.com/vi/vHJbNGkG4as/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vHJbNGkG4as/hqdefault.jpg,480,360,https://i.ytimg.com/vi/vHJbNGkG4as/sddefault.jpg,640.0,480.0,The Real Hollywood,24,none,WHO’S RICHER? - Paris Hilton or Amber Heard? - Net Worth Revealed!,Who’s worth more? How much money do Paris Hilton and actress Amber Heard have? We reveal their net worth and see who’s the richest between the two!,PT33S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,31,0,https://i.ytimg.com/vi/vHJbNGkG4as/maxresdefault.jpg,1280.0,720.0,"['Net Worth', 'Networth', 'Wealth', 'Rich', 'Facts', 'Factoids', 'Vs', 'Celebrity', 'Money', 'Fortune', 'Paris Hilton', 'Bikini', 'Blue', 'White Shirt', 'Short Hair', 'Blonde', 'Hot', 'Cat Eyes', 'Amber Heard', 'Ripped Shirt', 'Jeans', 'Long Hair', 'Messy Hair']",0,0,
youtube#video,GzaZERxIh1V5vsj2eNYyIBm7nB4,WA7lCaJFIxw,2014-08-26T00:23:24Z,UCOqsxZ0JvatqxXwcGblpR9w,Amber Heard Rhum Express Premiere in Paris,,https://i.ytimg.com/vi/WA7lCaJFIxw/default.jpg,120,90,https://i.ytimg.com/vi/WA7lCaJFIxw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WA7lCaJFIxw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/WA7lCaJFIxw/sddefault.jpg,640.0,480.0,MsCelebrityy,24,none,Amber Heard Rhum Express Premiere in Paris,,PT1M11S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,40,0,https://i.ytimg.com/vi/WA7lCaJFIxw/maxresdefault.jpg,1280.0,720.0,,0,0,
youtube#video,dUHvwmBiSse7CJInM4CG2OFiRHM,_Ii9iJtysqs,2018-07-05T05:03:49Z,UCVBZ7bN9BPx3LkMkWSMQL1g,"Amber Heard, l’ex rivale de Vanessa Paradis est à Paris","La Fashion Week Haute Couture, qui se tient actuellement à Paris, attire de nombreuses stars. Tandis que Vanessa Paradis brillait au défilé Chanel, son ancienne rivale Amber Heard a débarqué dans la capitale de la mode. L'ex femme de Johnny Depp est à Paris depuis lundi. 
Source: http://www.gala.fr/l_actu/news_de_stars/photos-amber-heard-lex-rivale-de-vanessa-paradis-est-a-paris_416951 
Subscribe: https://goo.gl/N5Xus5",https://i.ytimg.com/vi/_Ii9iJtysqs/default.jpg,120,90,https://i.ytimg.com/vi/_Ii9iJtysqs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_Ii9iJtysqs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/_Ii9iJtysqs/sddefault.jpg,640.0,480.0,Celebrity News,24,none,"Amber Heard, l’ex rivale de Vanessa Paradis est à Paris","La Fashion Week Haute Couture, qui se tient actuellement à Paris, attire de nombreuses stars. Tandis que Vanessa Paradis brillait au défilé Chanel, son ancienne rivale Amber Heard a débarqué dans la capitale de la mode. L'ex femme de Johnny Depp est à Paris depuis lundi. 
Source: http://www.gala.fr/l_actu/news_de_stars/photos-amber-heard-lex-rivale-de-vanessa-paradis-est-a-paris_416951 
Subscribe: https://goo.gl/N5Xus5",PT3M11S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,74,0,https://i.ytimg.com/vi/_Ii9iJtysqs/maxresdefault.jpg,1280.0,720.0,"['Paris', 'Diaporama', 'look', 'looks de stars', 'Amber Heard', 'Johnny Depp', 'Vanessa Paradis']",0,0,fr
youtube#video,T23vlely3sFvTP8VnnFB4NKYjbE,_ljTglQggNc,2021-12-28T13:24:44Z,UCdFlXPpXaptk8zfyfWX_iwg,"Amber Heard conta como prospera durante os momentos de ""afundar ou nadar"" da vida (LEGENDADO PT/BR)","Vídeo legendado pela equipe do AHBR - http://amberheardbrasil.com/

Confira os vídeos legendados da Amber Heard: https://vk.com/amberheardbra",https://i.ytimg.com/vi/_ljTglQggNc/default.jpg,120,90,https://i.ytimg.com/vi/_ljTglQggNc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_ljTglQggNc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/_ljTglQggNc/sddefault.jpg,640.0,480.0,Amber Heard Brasil,22,none,"Amber Heard conta como prospera durante os momentos de ""afundar ou nadar"" da vida (LEGENDADO PT/BR)","Vídeo legendado pela equipe do AHBR - http://amberheardbrasil.com/

Confira os vídeos legendados da Amber Heard: https://vk.com/amberheardbra",PT3M18S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,72,0,https://i.ytimg.com/vi/_ljTglQggNc/maxresdefault.jpg,1280.0,720.0,"['amber heard', 'amber heard legendado', 'amber heard tradução', 'amber heard brasil', 'amber heard interview']",13,1,
