,urls,title,n_views,n_likes,n_dislikes,n_favorites,n_comments,total
100,https://www.youtube.com/watch?v=t2YpR8W1ESc,"""please..."" ellen degeneres reacts to loosing her show!",545376,5743.0,2871.0,0,1881.0,553990.0
777,https://www.youtube.com/watch?v=xpADcOjZzlE,amber heard | attitude whatsapp status | amber heard birthday whatsapp status |,515779,34203.0,1168.0,0,269.0,551150.0
525,https://www.youtube.com/watch?v=H0joo-Em7P4,insane case of amber hiberling & the 25th story,434468,23089.0,307.0,0,3527.0,457864.0
718,https://www.youtube.com/watch?v=YAcdzMRadhQ,why people believe amber heard and meghan markle's lies - understanding the victimhood game (2021),426303,21401.0,819.0,0,2748.0,448523.0
38,https://www.youtube.com/watch?v=1nLI4ahi6V4,emilia clarke speaks out on being amber heard's replacement in aquaman 2!!!,433088,11235.0,884.0,0,1888.0,445207.0
864,https://www.youtube.com/watch?v=wapIt9JXzpc,amber ruffin recaps oprah’s prince harry and meghan markle interview,425967,15679.0,306.0,0,833.0,441952.0
820,https://www.youtube.com/watch?v=nSND_CMD-Io,ty borden may return - here is why! amber marshall (amy) knew everything before ty left heartland,433386,4711.0,278.0,0,1385.0,438375.0
204,https://www.youtube.com/watch?v=8oiB_u4RDiM,"amber heard full apology video - ""this has gone too far""...!?",414537,6010.0,5401.0,0,2576.0,425948.0
825,https://www.youtube.com/watch?v=B9ZaUwfDvg4,amber heard’s lawyer quits & exposes amber for ruining johnny depp!?,396094,11142.0,384.0,0,2660.0,407620.0
475,https://www.youtube.com/watch?v=ShObyc9vqXM,jason momoa speaks on amber heard being replaced from aquaman 2!?,374403,10020.0,2295.0,0,1942.0,386718.0
692,https://www.youtube.com/watch?v=yeTS2Fx6nPg,the evolution of amber | teen mom og,383338,3002.0,221.0,0,866.0,386561.0
98,https://www.youtube.com/watch?v=VzG4rT-BDEA,amber heard psychotic in elevator james franco drug dealer #justiceforjohnnydepp sorry johnny depp,372255,4647.0,388.0,0,922.0,377290.0
834,https://www.youtube.com/watch?v=Grlao4wLRBc,johnny depp: agresseur ou agressé - partie 2 #givdt 40,325676,21915.0,115.0,0,1497.0,347706.0
327,https://www.youtube.com/watch?v=YVPyBraRags,jason momoa tells the truth on why amber heard was fired from aquaman 2!!,337272,7098.0,1795.0,0,973.0,346165.0
564,https://www.youtube.com/watch?v=3R_emk-Fzh8,gone girl & amber heard: the disturbing similarities,320088,12099.0,220.0,0,973.0,332407.0
695,https://www.youtube.com/watch?v=pLYxM0ztStg,"""i lied"" amber heard apologies to johnny depp (ig live video)",321607,2385.0,3906.0,0,479.0,327898.0
229,https://www.youtube.com/watch?v=pd-iJRfKPuI,johnny depp por fin demuestra que amber heard mintió: el video que salvara su carrera 🔥,309397,18245.0,241.0,0,1364.0,327883.0
636,https://www.youtube.com/watch?v=jKBoWuwodKM,elon musk expone a amber heard y la despiden de aquaman 2: emilia clarke sera mera,294824,18847.0,681.0,0,1467.0,314352.0
640,https://www.youtube.com/watch?v=xlL2DiqlGIg,magic mike xxl (2015) | the moves of magic mike xxl featurette,297752,2533.0,76.0,0,47.0,300361.0
170,https://www.youtube.com/watch?v=-qHw0PtrdQI,how amber heard destroyed her own career,291853,6180.0,128.0,0,1861.0,298161.0
19,https://www.youtube.com/watch?v=j0R_mHmRnC8,disney destroys amber heard for threatening to sue over depp! career done!,268941,10178.0,175.0,0,1332.0,279294.0
312,https://www.youtube.com/watch?v=BKPZcUAhKhs,"""i went too far"" amber heard apologises to johnny depp (ig live video)",263441,2459.0,1014.0,0,820.0,266914.0
859,https://www.youtube.com/watch?v=j_XOf43VV8w,amber heard's lawyers quit & expose her (interview),254918,9930.0,1194.0,0,1469.0,266042.0
724,https://www.youtube.com/watch?v=iX63Sqkr8sE,amber heard's assisstant finally exposes her for lying,249161,5464.0,101.0,0,1018.0,254726.0
471,https://www.youtube.com/watch?v=tdXBUL9WunQ,johnny depp finally speaks on how amber heard tried to ruin him,247217,6322.0,166.0,0,1640.0,253705.0
12,https://www.youtube.com/watch?v=H-Gdg4c4v80,bomba: ¡johnny depp demuestra que amber heard mintió! ¿brad pitt vioiento? ryan en el snyder cut,230761,13682.0,430.0,0,701.0,244873.0
713,https://www.youtube.com/watch?v=f1Gu4oQ0_w4,calling meghan markle “uppity” is just another dog whistle | the amber ruffin show,225641,16709.0,1075.0,0,1287.0,243425.0
33,https://www.youtube.com/watch?v=A3jYed_iCs4,johnny depp sits with us & opens up about amber heard,233319,3935.0,1470.0,0,1064.0,238724.0
247,https://www.youtube.com/watch?v=UMglys-ned8,amber heard fired & faces 3 years in jail??!?!?  huge aquaman 2 news for jason momoa & emilia clarke,219704,16759.0,568.0,0,1951.0,237031.0
40,https://www.youtube.com/watch?v=KByD2HZ2aN4,amber heard caught lying under oath! - great news for johnny depp,227008,9826.0,153.0,0,1656.0,236987.0
680,https://www.youtube.com/watch?v=CYNJKoha2W0,johnny depp cool entry | johnny depp and his ex-wife amber heard | johnny depp whatsapp status,215055,4813.0,53.0,0,67.0,219921.0
467,https://www.youtube.com/watch?v=KiKySpHchhk,yt burnout~amber heard fired from aqua-man~lawyer seeks investigation against t.i. & tiny,205414,13924.0,183.0,0,1043.0,219521.0
665,https://www.youtube.com/watch?v=kdHyHjezr4I,amber heard | aquaman | new whatsapp status | full screen 🔥,200598,13006.0,209.0,0,73.0,213813.0
225,https://www.youtube.com/watch?v=7JJhnke3M9I,amber heard exposed big time! johnny depp appeal scores huge victory!,201526,9980.0,92.0,0,1354.0,211598.0
139,https://www.youtube.com/watch?v=RNxOnso7j5c,fbi targets amber heard; confirms australian federal criminal case!,191489,11484.0,160.0,0,1612.0,203133.0
233,https://www.youtube.com/watch?v=jcf3UwelNAc,amber heard says nobody will hire her for movie roles because of petitions!,192102,6910.0,295.0,0,2230.0,199307.0
624,https://www.youtube.com/watch?v=uwy7HdQvET8,el peor dia de mi vida: amber heard se ríe de mi en twitter 😵💔,177318,19617.0,334.0,0,2048.0,197269.0
380,https://www.youtube.com/watch?v=RAbwipKD9cE,amber heard has lost her mind!,180789,11878.0,173.0,0,1433.0,192840.0
737,https://www.youtube.com/watch?v=SnBP4ZyETD0,amber heard busted finally! huge win for johnny depp!,164957,19111.0,161.0,0,1443.0,184229.0
17,https://www.youtube.com/watch?v=jbp4UiBTgO8,amber heard *exposed* by her lawyer for lying and ruining johnny depp!,178412,5643.0,139.0,0,988.0,184194.0
392,https://www.youtube.com/watch?v=_nuDSdYrBe0,amber heard wrecked as the judge laughs off heard's proposal! this is depp winning!,174881,7881.0,131.0,0,1042.0,182893.0
250,https://www.youtube.com/watch?v=lsBBAZVEaCM,johnny depp drops the bombshell as heard's worst fear will take the stand!,175262,5777.0,78.0,0,715.0,181117.0
904,https://www.youtube.com/watch?v=YwTRIGLWxVc,amber heard fired from aquaman 2 goes worldwide! the world loves depp!,173347,6903.0,117.0,0,1232.0,180367.0
213,https://www.youtube.com/watch?v=1GphbMhDbeo,amber heard is officially replaced by emilia clarke in aquaman 2!,169815,6651.0,718.0,0,1362.0,177184.0
886,https://www.youtube.com/watch?v=Gq5uItRcKlo,woman facing 20 years in prison for coughing on uber driver,168286,8326.0,120.0,0,1322.0,176732.0
169,https://www.youtube.com/watch?v=WJJXgV9PPWY,72 key differences between the stand (1994) and the stand (2021),169394,3332.0,86.0,0,1397.0,172812.0
381,https://www.youtube.com/watch?v=_vY2tA6lqaA,"that vegan teacher got banned.. worst youtuber banned, zoe laverne pregnant, amber heard, big hero 6",157629,13551.0,66.0,0,1905.0,171246.0
764,https://www.youtube.com/watch?v=gV32lK43irI,amber heard fired?! did warner just boot her from aquaman 2?! johnny depp vindicated?!,159996,7803.0,115.0,0,1097.0,167914.0
142,https://www.youtube.com/watch?v=G440kJneIw8,¡despidieron a amber heard por no cumplir su contrato! auronplay vs wismichu y adios james charles,154540,11198.0,273.0,0,1039.0,166011.0
906,https://www.youtube.com/watch?v=btxFY3vWhNQ,amber heard & the missing charity donations,150320,10260.0,94.0,0,959.0,160674.0
55,https://www.youtube.com/watch?v=KPqHSiWJ5pA,amber heard on the run?! johnny depp finally gets some justice!,151085,7461.0,93.0,0,876.0,158639.0
601,https://www.youtube.com/watch?v=7-yz2IP_knA,the real reason why amber heard is lying,154698,3430.0,51.0,0,662.0,158179.0
152,https://www.youtube.com/watch?v=l0htbL4cQxs,massive win for johnny depp & brutal loss for amber heard,142273,12169.0,150.0,0,1062.0,154592.0
871,https://www.youtube.com/watch?v=BUfusvxToSg,amber heard's birthday backfires spectacularly as depp scores monster win!,146498,6384.0,83.0,0,746.0,152965.0
460,https://www.youtube.com/watch?v=CYlIamQCWJ4,disney sends lawyers to defend johnny depp against amber heard in lawsuit,143679,6236.0,179.0,0,1481.0,150094.0
151,https://www.youtube.com/watch?v=PGSa4OzCuMA,confirmado: ¡amber heard miente! winona ryder revela la verdad de johnny depp,137189,11081.0,271.0,0,790.0,148541.0
66,https://www.youtube.com/watch?v=Dnv3kg2Jv6g,valentino lanús tuvo una caótica relación con la ex novia de johnny depp,144529,1426.0,54.0,0,274.0,146009.0
234,https://www.youtube.com/watch?v=Je5dYfRRnsA,amber heard sues disney; demands santions because depp! her career is ruined!,138508,6249.0,54.0,0,1363.0,144811.0
810,https://www.youtube.com/watch?v=8gqwDWfYDK8,"tremendo: ¡johnny depp perdió y amber heard se ríe en su cara! hannah montana, sharon osbourne y mas",129657,8139.0,204.0,0,1029.0,138000.0
689,https://www.youtube.com/watch?v=-t-1wygFTWs,marilyn manson's former personal assistant exclusive interview (we talk johnny depp and amber too),132642,4663.0,625.0,0,2651.0,137930.0
516,https://www.youtube.com/watch?v=VsIi2Jk1UKo,more celebrities come out defending johnny depp against amber heard *new evidence*,128437,3902.0,249.0,0,921.0,132588.0
319,https://www.youtube.com/watch?v=amngehTilWI,"harry & meghan, biden's stimulus, and vaccine superpowers: week in review | the amber ruffin show",125943,6461.0,87.0,0,369.0,132491.0
865,https://www.youtube.com/watch?v=TSVA_jz3KX8,breaking! bodycam footage proves amber heard lied!  this is massive!,120261,11302.0,178.0,0,1089.0,131741.0
320,https://www.youtube.com/watch?v=7pNmUjY7pjE,celebrities who spoke up about amber heard's lies!,125813,3357.0,61.0,0,375.0,129231.0
459,https://www.youtube.com/watch?v=K-okrp92NLQ,amber heard officially gets replaced by emilia clarke in aquaman 2!!!,123081,4510.0,492.0,0,896.0,128083.0
8,https://www.youtube.com/watch?v=QBCEXSVjBrM,amber heard officially fired from aquaman 2 role! (reactions),120719,4895.0,969.0,0,1157.0,126583.0
557,https://www.youtube.com/watch?v=10t2yH8V05c,amber heard denies johnny depp’s claim of settlement ’sham’ (report),121334,158.0,1457.0,0,489.0,122949.0
702,https://www.youtube.com/watch?v=Ut40yEFetK8,10 celebrities who defended johnny depp against amber heard,116848,4571.0,89.0,0,712.0,121508.0
496,https://www.youtube.com/watch?v=kyFLRXSxgPw,are some yellow lights too short? (math to check it!),116246,5132.0,68.0,0,1021.0,121446.0
246,https://www.youtube.com/watch?v=6LXbiVscMFE,amber heard faces 5 years in prison for bribing sister to lie in court!?,115780,3650.0,149.0,0,592.0,119579.0
596,https://www.youtube.com/watch?v=lObDBqP-s6A,¡adiós emma watson! amber heard gana otra vez a johnny depp y horrible robo a lady gaga,107955,7430.0,184.0,0,409.0,115569.0
41,https://www.youtube.com/watch?v=X-HZMV_QXLo,amber heard goes to jail for 10 years for johnny depp accusations?!,111643,2359.0,211.0,0,907.0,114213.0
154,https://www.youtube.com/watch?v=LXToAXqwbv0,disney ruins amber heard suing! this ends her career!,106706,5497.0,89.0,0,822.0,112292.0
422,https://www.youtube.com/watch?v=QfVYT_u0H00,amber heard hasn't donated divorce settlement,109160,1040.0,768.0,0,1241.0,110968.0
332,https://www.youtube.com/watch?v=KRL3B9d7J9U,holy moly! johnny depp proves amber heard never donated the money she promised!,98155,11925.0,199.0,0,1240.0,110279.0
604,https://www.youtube.com/watch?v=SOYMA5K8Q7U,police body cam footage proves amber heard lied about fight with johnny depp,103252,5028.0,24.0,0,515.0,108304.0
248,https://www.youtube.com/watch?v=xU-leHhdV8A,amber heard is in serious trouble after johnny depp's lawyers bring new evidence,102433,3129.0,72.0,0,962.0,105634.0
334,https://www.youtube.com/watch?v=RAdSqusT0Os,johnny depp strikes back! amber heard lands elon musk in the hot seat! snyder cut forgets her!,101342,3607.0,57.0,0,538.0,105006.0
377,https://www.youtube.com/watch?v=641Ap5N97xM,uncensored body cam footage proves amber heard lied about johnny depp,101347,2391.0,53.0,0,670.0,103791.0
576,https://www.youtube.com/watch?v=buVElkCX3Mg,amber heard exposed by her lawyer for ruining johnny depp,101453,1923.0,233.0,0,380.0,103609.0
49,https://www.youtube.com/watch?v=1rHVlL8c2zg,amber heard posts proof of aquaman 2 firing?! oops! she's busted?!,97379,5612.0,57.0,0,827.0,103048.0
431,https://www.youtube.com/watch?v=0L_AkpaiTzs,amber heard fired?!?!  new clues from zack snyder & emila clark point to aquaman 2 removal,95055,7187.0,206.0,0,1157.0,102448.0
742,https://www.youtube.com/watch?v=fff3cz6uSZM,jason momoa and amber heard ruin aquaman 2! warner has to miss depp!,96510,4858.0,208.0,0,1357.0,101576.0
257,https://www.youtube.com/watch?v=DkRFRQA2nk8,johnny depp speaks on amber heard ruining her own career,97615,3352.0,183.0,0,823.0,101150.0
64,https://www.youtube.com/watch?v=yH7iqjrBWm0,amber heard's biggest mistake wrecks her! she never saw it coming!,94452,5594.0,78.0,0,604.0,100124.0
762,https://www.youtube.com/watch?v=-cqVoAzrhs8,amber heard secretly recorded by raven symone locked out of her car!,96119,2803.0,146.0,0,540.0,99068.0
500,https://www.youtube.com/watch?v=OJ1aqVcTDSo,a brutal loss for johnny depp as amber heard laughs! his career is over after losing appeal,90749,7554.0,120.0,0,1766.0,98423.0
773,https://www.youtube.com/watch?v=2HnmzNUOI6U,"james charles exposed again, amber heard fired from aquaman? nikocado avocado goes off",92982,4997.0,96.0,0,705.0,98075.0
209,https://www.youtube.com/watch?v=-r-vWAVgXvg,"patreon drama. amber tells lifebyjen to ""get a grip"" because her fatshaming was 'truth'.",94336,3152.0,68.0,0,608.0,97556.0
366,https://www.youtube.com/watch?v=CCe53LZie5c,top 10 royal secrets exposed by meghan markle and prince harry,91259,5385.0,298.0,0,799.0,96942.0
875,https://www.youtube.com/watch?v=U9y03XWbUiM,"¡adiós amber heard! hola emilia, se revela martian manhunter en  snyder cut, el mjolnir regreso.",91347,5280.0,128.0,0,455.0,96755.0
686,https://www.youtube.com/watch?v=Axcjv9YqYns,disney officially rehires johnny depp after case with amber heard!!!,92390,4175.0,160.0,0,884.0,96725.0
852,https://www.youtube.com/watch?v=3beBArjSd60,amber heard lawyers quit and say that she never stood a chance (interview),93311,2264.0,221.0,0,430.0,95796.0
527,https://www.youtube.com/watch?v=iowZLFpm0nc,"zack snyder revela justice league 2, ¿echaron a amber heard de aquaman 2 por gorda?  jupiters legacy",88742,4815.0,108.0,0,325.0,93665.0
616,https://www.youtube.com/watch?v=TQnhYatNnuI,johnny depp wrecks the judge and amber heard on the road to appeal!,88466,4883.0,33.0,0,490.0,93382.0
318,https://www.youtube.com/watch?v=um5sD8SVgnY,amber heard has massive birthday blunder & has epic lawsuit fail!,84531,7966.0,67.0,0,578.0,92564.0
753,https://www.youtube.com/watch?v=1O9bRqmktNQ,amber heard reportedly fired from another movie role (latest update),89186,2943.0,96.0,0,987.0,92225.0
824,https://www.youtube.com/watch?v=9601W6sGH3E,"amber heard paid her sister $10,000 to lie about johnny depp in court!",87226,4473.0,47.0,0,804.0,91746.0
193,https://www.youtube.com/watch?v=fMmVy2dq7G4,¡amber heard ataca a johnny depp y su abogado! controversia de el demente y regresa harley quinn,84579,6581.0,118.0,0,647.0,91278.0
661,https://www.youtube.com/watch?v=lAn081CY4Ac,johnny depp v amber heard: the legal consequences of the charity donation lie,84276,5088.0,44.0,0,908.0,89408.0
338,https://www.youtube.com/watch?v=aYq5O36RMAw,amber heard admits to stealing from kids after depp bombshell! she's done!,84150,5096.0,19.0,0,801.0,89265.0
855,https://www.youtube.com/watch?v=sS5J4ZgimDk,wow: ¿entrevistare a amber heard? elon musk acaba con bill gates y kanye west es dios.,82079,6947.0,151.0,0,1036.0,89177.0
528,https://www.youtube.com/watch?v=VZYO44kG2Fg,amber heard drags disney into johnny depp defamation case?!,83808,4311.0,40.0,0,707.0,88159.0
693,https://www.youtube.com/watch?v=emRPlqnYCHI,amber heard threatens johnny depp's son on social media!!!?,82476,3061.0,239.0,0,852.0,85776.0
657,https://www.youtube.com/watch?v=buSAIbP7dnA,johnny depp responds to amber heard's apology... (court case updates!!!),83262,2080.0,190.0,0,460.0,85532.0
617,https://www.youtube.com/watch?v=Zm83CVE_WXg,amber heard p*ssed warner bros limits her screen time on aquaman 2!?,81642,2484.0,107.0,0,920.0,84233.0
562,https://www.youtube.com/watch?v=BEnEuZbUQoo,johnny depp drops appeals bombshell on amber heard! he may win it all!,79094,5000.0,25.0,0,582.0,84119.0
231,https://www.youtube.com/watch?v=qg9H0_ulnCE,amber heard replies to johnny depp fans on twitter,82281,624.0,822.0,0,1012.0,83727.0
599,https://www.youtube.com/watch?v=70ELYhEt7gY,the stand / kiss scene — stu and frannie (james marsden and odessa young),83163,233.0,17.0,0,0.0,83413.0
253,https://www.youtube.com/watch?v=dEhhgg43AiI,body cam footage proving amber  heard lied about johnny depp!,79434,1357.0,18.0,0,381.0,80809.0
716,https://www.youtube.com/watch?v=FXnbE5CgsMk,amber heard says shut up to depp supporters! she goes crazy on twitter!,77605,2688.0,61.0,0,678.0,80354.0
303,https://www.youtube.com/watch?v=fDW-sqNiCQQ,"nuevo green arrow, andrew garfield en spiderman, amber heard aquaman 2, godzilla vs kong reacciones",75319,4733.0,89.0,0,374.0,80141.0
406,https://www.youtube.com/watch?v=qgnkeDWNzgc,amber heard officially apologizes to johnny depp about her lies...,77464,1926.0,510.0,0,404.0,79900.0
329,https://www.youtube.com/watch?v=jWqHBv9IXI4,is amber heard going to sue us?!? | 8pm,75032,4028.0,132.0,0,1278.0,79192.0
623,https://www.youtube.com/watch?v=gu6OwyF5tf8,[reupload] johnny depp vs. amber heard | the full story of a toxic relationship & abuse,73884,4163.0,77.0,0,491.0,78124.0
97,https://www.youtube.com/watch?v=C1r8LwozLVs,amber heard can't go any lower,72740,4919.0,85.0,0,692.0,77744.0
180,https://www.youtube.com/watch?v=GX2CSx492ak,amber heard gets wrecked by the police! these attacks may ruin her!,73124,4566.0,37.0,0,616.0,77727.0
510,https://www.youtube.com/watch?v=5C9zA4nvo0U,amber heard fired from aquaman 2 because she's too fat to play mera?!,72441,4492.0,59.0,0,1378.0,76992.0
159,https://www.youtube.com/watch?v=wlh7AbYUfqk,amber heard fired from aquaman 2... emilia clarke replaces her as mera?,75088,1834.0,62.0,0,624.0,76984.0
893,https://www.youtube.com/watch?v=TiW2Xpu1wPc,johnny depp speaks on amber heard ruining her own career,74334,1523.0,397.0,0,497.0,76254.0
91,https://www.youtube.com/watch?v=V3zsDArOk08,amber heard being embarrassing for 16 seconds tiktok johnnnyddeppp,74007,1841.0,204.0,0,148.0,76052.0
299,https://www.youtube.com/watch?v=c05Q5H0qjiw,amber heard's worst fear is here as her everything falls apart!,71287,4439.0,24.0,0,507.0,75750.0
337,https://www.youtube.com/watch?v=UM75AvnffEQ,johnny depp speaks on amber heard trying to ruin him...,72772,2600.0,124.0,0,849.0,75496.0
486,https://www.youtube.com/watch?v=ESp6yvC3AxA,il losco caso di johnny depp: il riassuntone (quasi) definitivo,70921,4543.0,29.0,0,816.0,75493.0
750,https://www.youtube.com/watch?v=i3x_TuQigw8,amber heard analysis: interviews and psychological documentary bio,72999,2222.0,123.0,0,1444.0,75344.0
481,https://www.youtube.com/watch?v=zX32wYaBflc,disney apologizes to johnny depp after backlash/firing him!?!,72269,2849.0,216.0,0,805.0,75334.0
181,https://www.youtube.com/watch?v=rVZ7_fC_-OE,10 celebrities that defended johnny depp against amber heard,72277,2018.0,66.0,0,332.0,74361.0
414,https://www.youtube.com/watch?v=6im7YIwVup4,amber heard faces years of prison for accusations against johnny depp,72314,946.0,56.0,0,143.0,73316.0
653,https://www.youtube.com/watch?v=LkYIXgrLU8A,terrorists storm the capitol with no consequences: week in review | the amber ruffin show,67608,5302.0,39.0,0,230.0,72949.0
160,https://www.youtube.com/watch?v=9cLX5js0zKU,johnny depp v amber heard (the sun uk) - johnny requests permission to file new evidence,69351,3077.0,29.0,0,516.0,72457.0
752,https://www.youtube.com/watch?v=6-6bRaotgDg,zack snyder speaks on amber heard´s ban from all dc movies!,70884,871.0,507.0,0,714.0,72262.0
235,https://www.youtube.com/watch?v=oMIoRdN-enc,amber heard busted for lying about donating to sick kids?,64835,7187.0,92.0,0,949.0,72114.0
869,https://www.youtube.com/watch?v=-B1LFjDUh9g,johnny depp appeal finally brings justice?! amber heard charity lie exposed!,65657,4137.0,42.0,0,531.0,69836.0
347,https://www.youtube.com/watch?v=LjokWuzO7Go,johnny depp vs amber heard psychic reading,65542,3708.0,67.0,0,956.0,69317.0
71,https://www.youtube.com/watch?v=aHu0emUuQ-I,mera & aquaman vs steppenwolf - zack snyder's justice league (2021) l amber heard jason momoa,67399,845.0,43.0,0,213.0,68287.0
230,https://www.youtube.com/watch?v=poSU5v1y5m4,10 times johnny depp warned us about amber heard,66348,1590.0,94.0,0,342.0,68032.0
826,https://www.youtube.com/watch?v=-O4OwD_VDDk,amber heard busted - with proof! depp exposes her biggest courtroom lie!,60182,4345.0,38.0,0,428.0,64565.0
870,https://www.youtube.com/watch?v=Tg3TBEiIAEc,amber heard bombshell that ends it all! busted lying under oath! this is depp winning!,59694,4638.0,28.0,0,555.0,64360.0
427,https://www.youtube.com/watch?v=Lj5J_fYLr8k,amber heard fired over donuts?! aquaman 2 don’t want no plus size mera?!,58531,4125.0,38.0,0,831.0,62694.0
323,https://www.youtube.com/watch?v=oTzuekgCvso,unbelievable: amber heard faces 10 years in prison for pocketing charity donations from johnny depp,60634,1412.0,42.0,0,340.0,62088.0
44,https://www.youtube.com/watch?v=OOc1phcoWks,amber heard hid video and lied about testimony that proved depp was framed!,57456,4182.0,21.0,0,482.0,61659.0
808,https://www.youtube.com/watch?v=oDiMosnYMU4,team amber heard threaten to sue youtubers to protect their depp lies!,57486,3943.0,34.0,0,540.0,61463.0
451,https://www.youtube.com/watch?v=yxNL3uo7l_0,amber heard ➡️ la nueva oradora contra la vio. gen. | maltrató a johnny depp,54151,7171.0,58.0,0,676.0,61380.0
912,https://www.youtube.com/watch?v=bTqgUl0nDjA,"busted! amber heard paid ""friends"" to lie about johnny depp? wow!",56936,4030.0,25.0,0,590.0,60991.0
517,https://www.youtube.com/watch?v=kPmGido5chs,mera - all powers & fights scenes (justice league snyder's cut),59244,1451.0,113.0,0,617.0,60808.0
877,https://www.youtube.com/watch?v=8E7OGeyaSBg,amber heard's defense ruined by depp's newest appeal bombshell!,56799,3676.0,20.0,0,301.0,60495.0
260,https://www.youtube.com/watch?v=TzqAslwfhig,more celebrities who defended johnny depp against amber heard!!!,58092,2002.0,39.0,0,294.0,60133.0
293,https://www.youtube.com/watch?v=mJpQUk1kT_8,meghan markle's family turn on her after oprah interview,57486,2156.0,74.0,0,630.0,59716.0
717,https://www.youtube.com/watch?v=jEt1J6Xtoak,amber heard attacks the police! tries to ruin them for exposing her depp lies!,55711,3787.0,23.0,0,748.0,59521.0
